Hash Table:
Index Key                  Initial Hash    Resolved Hash   Probes  Order     
1     Cook                 1               1               1       7         
2     1234567890123456     2               2               1       1         
3     Aguirrie             3               3               1       2         
4     Alcantara            3               4               2       3         
5     Bhandari             3               5               3       4         
6     Carmona              3               6               4       5         
7     Casper               2               7               6       6         
8     Daniels              3               8               6       8         
9     Nienberg             3               9               7       9         
10    Paschal              3               10              8       10        
11    Red                  1               11              11      11        
12    Salkowski            3               12              10      12        
13    Zulfiqar             2               13              12      13        
14    Qamruddin            3               14              12      14        
15    Acevedo              3               15              13      15        
16    Ajose                2               16              15      16        
17    Arauza               2               17              16      17        
18    Buck                 1               18              18      18        
19    Clark                2               19              18      19        
20    Crouch               2               20              19      20        
21    Davies               2               21              20      21        
22    Dugger               2               22              21      22        
23    Egbe                 1               23              23      23        
24    Ellington            3               24              22      24        
25    Farral               2               25              24      25        
26    Garza                2               26              25      26        
27    Gurung               2               27              26      27        
28    Joseph               2               28              27      28        
29    Kelly                2               29              28      29        
30    Corey                2               30              29      30        
31    Adam                 1               31              31      31        
32    Clayton              3               32              30      32        
33    Dustin               2               33              32      33        
34    Robert               2               34              33      34        
35    Kyle                 1               35              35      35        
36    Scott                2               36              35      36        
37    Octavio              3               37              35      37        
38    Judy                 1               38              38      38        
39    Derek                2               39              38      39        
40    Jeffrey              3               40              38      40        
41    Jordon               2               41              40      41        
42    Vinnela              2               42              41      42        
43    Lisa                 1               43              43      43        
44    Todd                 1               44              44      44        
45    Veronica             3               45              43      45        
46    Matthew              3               46              44      46        
47    Michael              3               47              45      47        
48    Akhila               2               48              47      48        
49    John                 1               49              49      49        
50    Charles              3               50              48      50        
51    James                2               51              50      51        
52    Chris                2               52              51      52        
53    Wade                 1               53              53      53        
54    Christopher          3               54              52      54        
55    Fernando             2               55              54      55        
56    Batbold              3               56              54      56        
57    Joel                 1               57              57      57        
58    Fabulous             3               58              56      58        
59    Misogamist           3               59              57      59        
60    Maiden               2               60              59      60        
61    Eye                  1               61              61      61        
62    Constriction         3               62              60      62        
63    Necromancer          3               63              61      63        
64    Syncopate            3               64              62      64        
65    Yolk                 1               65              65      65        
66    Afterwards           3               66              64      66        
67    Person               2               67              66      67        
68    Northwest            3               68              66      68        
69    Irreversible         3               69              67      69        
70    Fabricate            2               70              69      70        
71    Honor                2               71              70      71        
72    Staple               2               72              71      72        
73    Under                2               73              72      73        
74    Jutty                2               74              73      74        
75    Finagle              2               75              74      75        
76    Empty                -               -               -       -         
77    Empty                -               -               -       -         
78    Empty                -               -               -       -         
79    Empty                -               -               -       -         
80    Empty                -               -               -       -         
81    Empty                -               -               -       -         
82    Empty                -               -               -       -         
83    Empty                -               -               -       -         
84    Empty                -               -               -       -         
85    Empty                -               -               -       -         
86    Empty                -               -               -       -         
87    Empty                -               -               -       -         
88    Empty                -               -               -       -         
89    Empty                -               -               -       -         
90    Empty                -               -               -       -         
91    Empty                -               -               -       -         
92    Empty                -               -               -       -         
93    Empty                -               -               -       -         
94    Empty                -               -               -       -         
95    Empty                -               -               -       -         
96    Empty                -               -               -       -         
97    Empty                -               -               -       -         
98    Empty                -               -               -       -         
99    Empty                -               -               -       -         
100   Empty                -               -               -       -         
Average Probes - First 25 Keys: 11.72 (Min: 1, Max: 24)
Average Probes - Last 25 Keys: 61.76 (Min: 50, Max: 74)
Average Probes - All 75 Keys: 36.81 (Min: 1, Max: 74)
