First 25 Inserted - Min Probes: 1
First 25 Inserted - Max Probes: 80
First 25 Inserted - Avg Probes: 13.96
Last 25 Inserted - Min Probes: 1
Last 25 Inserted - Max Probes: 43
Last 25 Inserted - Avg Probes: 9.28
All Inserted Keys:
Index Key                  Initial Hash    Resolved Hash   Probes  Order     
1     live                 92              1               9       90        
2     Egbe                 1               2               1       23        
3     Gurung               2               3               1       27        
4     Irreversible         2               4               2       69        
5     marsupial            4               5               1       94        
6     rationalize          66              6               40      95        
7     scat                 27              7               80      96        
8     Joseph               7               8               1       28        
9     toluene              44              9               65      97        
10    wet                  6               10              4       98        
11    Paschal              10              11              1       10        
12    Clayton              10              12              2       32        
13    Derek                11              13              2       39        
14    sparse               64              14              50      99        
15    Aguirrie             14              15              1       2         
16    Corey                14              16              2       30        
17    Cook                 16              17              1       7         
18    Todd                 15              18              3       44        
19    Fabricate            17              19              2       70        
20    Buck                 19              20              1       18        
21    brutalize            18              21              3       83        
22    quandary             49              22              73      100       
23    Crouch               22              23              1       20        
24    Kelly                23              24              1       29        
25    Christopher          23              25              2       54        
26    Fernando             23              26              3       55        
27    Dugger               26              27              1       22        
28    Fabulous             23              28              5       58        
29    Misogamist           23              29              6       59        
30    Yolk                 25              30              5       65        
31    Ellington            30              31              1       24        
32    Adam                 31              32              1       31        
33    Dustin               31              33              2       33        
34    Alcantara            33              34              1       3         
35    1234567890123456     34              35              1       1         
36    Red                  33              36              3       11        
37    Scott                35              37              2       36        
38    Jordon               30              38              8       41        
39    Wade                 35              39              4       53        
40    John                 39              40              1       49        
41    Nienberg             40              41              1       9         
42    Syncopate            30              42              12      64        
43    Robert               42              43              1       34        
44    Necromancer          43              44              1       63        
45    Daniels              44              45              1       8         
46    Acevedo              45              46              1       15        
47    Joel                 44              47              3       57        
48    Vinnela              47              48              1       42        
49    Ajose                48              49              1       16        
50    Person               41              50              9       67        
51    Farral               50              51              1       25        
52    Garza                51              52              1       26        
53    Arauza               52              53              1       17        
54    Qamruddin            53              54              1       14        
55    Veronica             53              55              2       45        
56    Kyle                 55              56              1       35        
57    Northwest            24              57              33      68        
58    Under                40              58              18      73        
59    Wine                 33              59              26      77        
60    Perfect              53              60              7       79        
61    Maiden               60              61              1       60        
62    Eye                  61              62              1       61        
63    mole                 39              63              24      80        
64    Bhandari             63              64              1       4         
65    Afterwards           63              65              2       66        
66    Carmona              65              66              1       5         
67    Batbold              66              67              1       56        
68    parasympathetic      25              68              43      81        
69    Rush                 68              69              1       76        
70    Constriction         69              70              1       62        
71    Matthew              70              71              1       46        
72    poison               64              72              8       82        
73    Salkowski            72              73              1       12        
74    cap                  58              74              16      84        
75    ratiocination        36              75              39      85        
76    Octavio              75              76              1       37        
77    Jeffrey              75              77              2       40        
78    Akhila               76              78              2       48        
79    Charles              76              79              3       50        
80    James                76              80              4       51        
81    Honor                78              81              3       71        
82    Staple               77              82              5       72        
83    wince                34              83              49      88        
84    Lisa                 83              84              1       43        
85    magnetic             40              85              45      91        
86    inlet                50              86              36      92        
87    Zulfiqar             86              87              1       13        
88    cauldron             86              88              2       86        
89    Screen               88              89              1       78        
90    orthodontist         89              90              1       89        
91    constrain            47              91              44      93        
92    Michael              91              92              1       47        
93    Judy                 92              93              1       38        
94    Clark                93              94              1       19        
95    Davies               94              95              1       21        
96    Chris                95              96              1       52        
97    Casper               96              97              1       6         
98    Jutty                94              98              4       74        
99    Finagle              94              99              5       75        
100   prepossess           91              100             9       87        
